	#	FORM	LEMMA	GRAM	COMMENT	CHECKED	RIGHT1	RIGHT2	RIGHT3	RIGHT4	RIGHT5	RIGHT6	POS	AUTO_LEMMA	AUTO_GRAM	
33070	1	?	?	PUNC									PUNC	?	PUNC	
33071	2	?	?	PUNC									PUNC	?	PUNC	
33072	3	≈лена	≈Ћ≈Ќј	S f anim persn nom sg			а	н	е	л	е		S	≈Ћ≈Ќј	S f anim nom sg	53
33073	4	@	@	PUNC									PUNC	@	PUNC	19
33074	5	Ќаверное	Ќј¬≈–Ќќ≈	ADV -			е	о	н	р	е	в	ADV	Ќј¬≈–Ќќ≈	ADV -	
33075	6	,	,	PUNC									PUNC	,	PUNC	
33076	7	ээ	Ё	INTJ			э	э					NONLEX	ЁЁ	NONLEX	
33077	8	,	,	PUNC									PUNC	,	PUNC	
33078	9	самое	—јћџ…	APRO - nom sg plen n -			е	о	м	а	с		A	—јћџ…	A - nom sg plen n -	10
33079	10	главное	√Ћј¬Ќќ≈	A n supr nom sg			е	о	н	в	а	л	S	√Ћј¬Ќќ≈	S n inan nom sg	
33080	11	,	,	PUNC									PUNC	,	PUNC	
33081	12	что	„“ќ	CONJ			о	т	ч				CONJ	„“ќ	CONJ	
33082	13	исчезла	»—„≈«Ќ”“№	V pf praet sg act indic f -			а	л	з	е	ч	с	V	»—„≈«Ќ”“№	V pf praet sg indic f -	
33083	14	,	,	PUNC									PUNC	,	PUNC	
33084	15	прежде всего	прежде всего	PARENTH -			о	г	е	с	в	 	-	прежде всего	-	
33085	16	,	,	PUNC									PUNC	,	PUNC	
33086	17	э	Ё	INTJ			э						S	Ё	S - - nonflex nonflex	
33087	18	,	,	PUNC									PUNC	,	PUNC	
33088	19	редактура	–≈ƒј “”–ј	S f inan nom sg			а	р	у	т	к	а	S	–≈ƒј “”–ј	S f inan nom sg	
33089	20	.	.	SENT									SENT	.	SENT	
33090																
33091	1	¬от	¬ќ“	PART			т	о	в				PART	¬ќ“	PART	
33092	2	€	я	SPRO sg 1p - nom			€						SPRO	я	SPRO sg 1p - nom	
33093	3	каждый	 ј∆ƒџ…	APRO - nom sg plen m -			й	ы	д	ж	а	к	A	 ј∆ƒџ…	A - nom sg plen m -	
33094	4	раз	–ј«	S m inan nom sg			з	а	р				S	–ј«	S m inan nom sg	
33095	5	хочу	’ќ“≈“№	V ipf praes sg indic act 1p			у	ч	о	х			V	’ќ“≈“№	V ipf praes sg indic - 1p	
33096	6	спросить	—ѕ–ќ—»“№	V pf - - inf - -			ь	т	и	с	о	р	V	—ѕ–ќ—»“№	V pf - - inf - -	
33097	7	:	:	PUNC									PUNC	:	PUNC	
33098	8	вот	¬ќ“	PART			т	о	в				PART	¬ќ“	PART	
